"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"INVISTA","","","","475","Ground water","P O BOX 327
WILMINGTON, NC 28402","910-341-5515","",""
"INWOOD FOREST","","","","125","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"IOTLA BAPTIST CHURCH","","","","150","Ground water","1537 IOTLA CHURCH RD
FRANKLIN, NC 28734","","",""
"IOTLA ELEM SCHOOL","","","","400","Ground water","1202 OLD MURPHY RD
FRANKLIN, NC 28739","828-524-4460","",""
"IREDELL WATER CORPORATION","<a href=""javascript:popURL('http://www.iredellwater.com/documents/CCRs/2012_CCR_IWC_01-49-025.pdf');"">http://www.iredellwater.com/documents/CCRs/2012_CCR_IWC_01-49-025.pdf</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","<a href=""javascript:popURL('http://www.iredellwater.com');"">http://www.iredellwater.com</a>&nbsp;<a class=""exit-disclaimer"" title=""EPA's External Link Disclaimer"" href=""http://www2.epa.gov/home/exit-epa"">Exit</a>","","23,899","Surface water purchased","P O BOX 711
STATESVILLE, NC 28687","704-876-0672","",""
"IRON HORSE CAMPGROUND","","","","25","Ground water","1755 LOWER STECOAH RD
ROBBINSVILLE, NC 28771","828-479-3864","",""
"IRON STATION METHODIST CHURCH","","","","35","Ground water","4777 EAST HWY 27
IRON STATION, NC 28080","","",""
"IRONGATE S/D","","","","74","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"ISLAND CHOICE VARIETY","","","","75","Ground water","151 GOODWIN RIDGE RD
CEDAR ISLAND, NC 28520","252-225-0246","",""
"ISOM BAPT CHURCH","","","","25","Ground water","1580 FULP RD
WALNUT COVE, NC 27502","336-591-5038","",""
"IVEY MEMORIAL UMC","","","","60","Ground water","3554 WALKER RD
MAIDEN, NC 28650","","",""
"IVY HILL BAPTIST CHURCH","","","","75","Ground water","5272 PAINT FORK ROAD
MARS HILL, NC 28754","","",""
"J & W PAWN SHOP","","","","40","Ground water","633 21ST STREET
HICKORY, NC 28602","828-615-7688","",""
"J B ROSE & SONS MIGRANT CAMP","","","","75","Ground water","2640 OLD BAILEY HWY
NASHVILLE, NC 27856","252-459-7608","",""
"J C CAMPBELL FOLK SCHOOL","","","","97","Ground water","1 FOLK SCHOOL RD
BRASSTOWN, NC 28902","828-837-2775","",""
"J M ELECTRIC, LLC","","","","49","Ground water","6629 OLD US 421 HWY
EAST BEND, NC 27018","336-699-3957","",""
"J MART #4","","","","25","Ground water","2257 HWY 65 EAST
REIDSVILLE, NC 27320","336-427-7770","",""
"JAARS, INC","","","","790","Ground water","PO BOX 248
WAXHAW, NC 28173","704-848-6073","",""
"JACKS LANDING S/D","","","","120","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"JACKSON HEIGHTS MHP","","","","200","Ground water","2264 LYNSBURY RD
SCRANTON, NC 27875","252-542-0744","",""
"JACKSON SPRINGS PRESBYTERIAN","","","","50","Ground water","PO BOX 215
JACKSON SPRINGS, NC 27281","910-315-5476","",""
"JACKSON, TOWN OF","","","","513","Ground water","PO BOX 614
JACKSON, NC 27845","252-534-3811","",""
"JACKSONVILLE CITY OF","","","","45,598","Ground water","PO BOX 128
CITY OF JACKSONVILLE
JACKSONVILLE, NC 28541","910-938-6534","",""
"JACOB`S CRK NURSING AND REHAB CENTER","","","","235","Ground water","1721 BALD HILL LOOP
MADISON, NC 27025","336-548-9658","",""
"JACOB`S VIEW S/D","","","","218","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"JAMESTOWN, TOWN OF","","","","6,388","Surface water purchased","PO BOX 848
JAMESTOWN, NC 27282","336-454-1138","",""
"JAMESTOWNE S/D WATER SYSTEM","","","","163","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"JAMESVILLE, TOWN OF","","","","480","Ground water","PO BOX 215
JAMESVILLE, NC 27846","252-809-2174","",""
"JAMISON PARK S/D","","","","528","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"JASON WATER CORPORATION","","","","331","Ground water","4466 HWY 13 S
SNOW HIIL, NC 28580","252-747-3414","",""
"JAY MAR TRAILER PARK","","","","398","Ground water","140 JAYMAR DRIVE
HENDERSONVILLE, NC 28792","828-685-3771","",""
"JAY`S SEAFOOD HOUSE","","","","25","Ground water","44022 STONEY GAP RD
ALBEMARLE, NC 28001","704-982-5814","",""
"JCH MHP LLC","","","","50","Ground water","7536 NC 39 HWY
ZEBULON, NC 27597","919-404-1668","",""
"JEFFERIES CROSS BAPT CHURCH","","","","25","Ground water","2015 JEFFERIES CROSS RD
BURLINGTON, NC 27217","336-228-9626","",""
"JEFFERSON HILL S/D","","","","81","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"JEFFERSON LANDING","","","","640","Ground water","PO BOX 110
JEFFERSON, NC 28640","336-982-4449","",""
"JEFFERSON, TOWN OF","","","","1,450","Surface water","PO BOX 67
JEFFERSON, NC 28640","336-982-2828","",""
"JEFFRESS PARK","","","","100","Ground water","49800 BLUE RIDGE PARKWAY
LAUREL SPRINGS, NC 28644","336-348-3472","",""
"JEFFREYS II","","","","100","Ground water","PO BOX 18973
RALEIGH, NC 27619","919-554-9605","",""
"JEFFREYS MHP  NO 2","","","","115","Ground water","5312 PINEWOOD CT
WENDELL, NC 27591","919-266-2864","",""
"JEHOVAH`S WITNESS KINGDOM","","","","80","Ground water","44 2ND AVENUE
SYLVA, NC 28779","","",""
"JEHOVAH`S WITNESS KINGDOM HALL","","","","70","Ground water","180 FLORIDA PARK RD.
NEWPORT, NC 28570","252-247-5411","",""
"JENNABUGS CAFE","","","","50","Ground water","1991 ROGERS MILL RD
MAGNOLIA, NC 28453","910-532-6040","",""
"JEROME VICK MLC 4901","","","","130","Ground water","11124 CHRISTIAN ROAD
WILSON, NC 27896","252-237-7313","",""
"JERRYS SNACK BAR","","","","25","Ground water","2613 SWAN CREEK RD
JONESVILLE, NC 28642","336-835-2750","",""
"JESSUP GROVE BAPTIST CHURCH","","","","100","Ground water","PO BOX 1367
PILOT MOUNTAIN, NC 27041","","",""
"JESUS FIRST CHURCH","","","","80","Ground water","7467 CAMDEN ROAD
FAYETTEVILLE, NC 28306","910-452-2429","",""
"JESUS LIFE WORSHIP CENTER","","","","25","Ground water","PO BOX 921
WILKESBORO, NC 28697","336-921-3806","",""
"JETER MOUNTAIN MHP","","","","45","Ground water","297 ECHO LAKES DR
HENDERSONVILLE, NC 28739","","",""
"JEWEL ACRES WATER SERVICE","","","","90","Ground water","PO BOX 1325
ASHEVILLE, NC 28802","828-251-1900","",""
"JIMMY`S FOOD MART","","","","75","Ground water","2995 NC HWY 42 EAST
WILLOW SPRINGS, NC 27592","919-567-3288","",""
"JIMMY`S MINI MARKET","","","","100","Ground water","PO BOX 266
TUCKASEGEE, NC 28783","828-293-3433","",""
"JIM`S GROCERY & GRILL","","","","25","Ground water","1672 ARMSTRONG FORD ROAD
BELMONT, NC 28012","704-825-5566","",""
"JJ`S EATERY","","","","25","Ground water","PO BOX 506
GLENVILLE, NC 28736","828-743-7778","",""
"JOHN E JENKINS INC","","","","80","Ground water","1431 DELTA DR
GASTONIA, NC 28052","704-864-5421","",""
"JOHNSON & SON MHP","","","","90","Ground water","2100 WOODNELL DRIVE
RALEIGH, NC 27603","","",""
"JOHNSON TOMATO COMPANY","","","","30","Ground water","PO BOX 241
WAYNESVILLE, NC 28786","828-235-8662","",""
"JOHNSON-SILER MHP","","","","150","Surface water purchased","PO BOX 361
C/O COMPREHENSIVE PROPERTY MGMT, INC
OLD FORT, NC 28762","828-712-9163","",""
"JOHNSON`S CORNER GROC & GRILL","","","","200","Ground water","9031 US HWY 421
CURRIE, NC 28435","910-259-4367","",""
"JOHNSON`S RESTAURANT","","","","75","Ground water","PO BOX 65
CHINA GROVE, NC 28023","704-857-9417","",""
"JOHNSTON CO-EAST","","","","28,768","Surface water","PO BOX 2263
JOHNSTON CO-DPU
SMITHFIELD, NC 27577","919-938-5826","",""
"JOHNSTON CO-WEST","","","","53,992","Surface water","PO BOX 2263
JOHNSTON CO-DPU
SMITHFIELD, NC 27577","919-938-5826","",""
"JOHN`S RIVER CAMP","","","","25","Ground water","1055 NILEY COOK RD
BLOWING ROCK, NC 28605","828-754-7067","",""
"JONAS RIDGE REST HOME","","","","44","Ground water","PO BOX 519
NEWLAND, NC 28657","828-733-0141","",""
"JONES CHAPEL MISSIONARY BAPT","","","","25","Ground water","3787 SADDLE BRIDGE RD
STONEVILLE, NC 27048","","",""
"JONES CHAPEL MISSIONARY BAPTIST CHURCH","","","","75","Ground water","148 JONES CHAPEL CHURCH RD
LOUISBURG, NC 27549","919-853-2869","",""
"JONES COUNTY WATER SYSTEM","","","","8,999","Ground water","418 NC HIGHWAY 58N, UNIT B
WATER SUPERVISOR
TRENTON, NC 28585","","",""
"JONES DAIRY FARM S/D","","","","175","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"JONES FISH CAMP","","","","150","Ground water","5269 NC HWY 16 S
MAIDEN, NC 28650","704-483-2480","",""
"JONES GAP BAPTIST CHURCH","","","","100","Ground water","PO BOX 671
HENDERSONVILLE, NC 28793","","",""
"JONES STATION RV PARK","","","","25","Ground water","PO BOX 474
MEBANE, NC 27302","919-568-0153","",""
"JONESVILLE, TOWN OF","","","","3,012","Surface water","339 SHAW ST
JONESVILLE, NC 28642","336-835-2250","",""
"JONIE`S","","","","50","Ground water","93 FUDDERBACK RD.
BALSAM GROVE, NC 28708","828-966-4030","",""
"JORDAN RIDGE S/D","","","","99","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"JORDAN WOODS S/D","","","","70","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"JORDAN`S CHAPEL BAPT CHURCH","","","","75","Ground water","321 LAKE VIEW RD
LOUISBURG, NC 27549","","",""
"JORDAN`S CHAPEL UMC","","","","200","Ground water","4670 STAG PARK ROAD
BURGAW, NC 27425","910-259-5735","",""
"JOY BAKERY","","","","25","Ground water","3016 TWELVE MILE CREEK RD
MATTHEWS, NC 28104","","",""
"JOY BAPTIST CHURCH","","","","90","Ground water","244 HAROLD HART RD
SILER CITY, NC 27344","919-742-3285","",""
"JOY CHRISTIAN FELLOWSHIP CH","","","","400","Ground water","11516 IDLEWILD RD
MATTHEWS, NC 28105","704-845-5516","",""
"JOY DELIGHT COMMANDMENT KEEPIN","","","","50","Ground water","294 FERN HILL ROAD
TROUTMAN, NC 28166","704-528-9173","",""
"JOY FREEWILL BAPTIST CHURCH","","","","75","Ground water","864 S NC 177
HAMLET, NC 28345","910-205-1569","",""
"JOYCETON WATER WORKS","","","","350","Surface water purchased","PO BOX 347
LENOIR, NC 28645","828-728-3189","",""
"JUKEBOX JUNCTION SODA SHOPPE","","","","150","Ground water","6306 PIGEON RD
CANTON, NC 28716","828-648-4546","",""
"JUNALUSKA SANITARY DISTRICT","","","","4,613","Surface water purchased","PO BOX 35
LAKE JUNALUSKA, NC 28745","828-452-1178","",""
"JUNEBUG RETRO RESORT","","","","25","Ground water","8 COLONIAL PLACE
ASHEVILLE, NC 28804","","",""
"JUNG`S EGGROLL EXPRESS","","","","75","Ground water","5319 CASTLE HAYNE RD.
CASTLE HAYNE, NC 28429","910-675-0999","",""
"JUNIPER LEVEL BAPTIST CHURCH","","","","175","Ground water","9104 SAULS ROAD
RALEIGH, NC 27603","919-862-3704","",""
"K G`S QUICK STOP","","","","250","Ground water","435 GUN CLUB RD
BOSTIC, NC 28018","828-756-4975","",""
"KALLAM GROVE CHRISTIAN CH","","","","25","Ground water","1390 GOLD HILL RD
MADISON, NC 27025","336-548-4860","",""
"KANNAPOLIS, CITY OF","","","","49,289","Surface water","401 LAUREATE WAY
KANNAPOLIS, NC 28081","704-920-4252","",""
"KANUGA CAMP FOR BOYS & GIRLS","","","","140","Ground water","PO BOX 250
HENDERSONVILLE, NC 28793","828-692-9136","",""
"KEATONS BARBEQUE","","","","25","Ground water","PO BOX 1721
STATESVILLE, NC 28687","704-278-3048","",""
"KEELEY PARK GARDENS","","","","25","Ground water","4150 KEELY RD
MCLEANSVILLE, NC 27301","336-373-4547","",""
"KEELEY PARK SPRAYGROUND","","","","25","Ground water","4150 KEELY RD
MCLEANSVILLE, NC 27301","336-373-4547","",""
"KEENELAND MANOR S/D","","","","36","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KEITH'S CORNER CAFE","","","","25","Ground water","11916 HOLMES HOLLOW RD
WAKE FOREST, NC 27587","919-210-3467","",""
"KELLY GENERAL STORE","","","","50","Ground water","18532 NC 53 E
KELLY, NC 28448","910-669-2260","",""
"KELLY HILL S/D","","","","109","Surface water purchased","251 MERCHANTS CIRCLE
ATTN: AQUA OF NC
HAMPSTEAD, NC 28443","910-270-1412","",""
"KELLY`S ON THE RIVER","","","","50","Ground water","9 RANSOM HILL CIRCLE
FRANKLIN, NC 28734","828-488-8530","",""
"KELTIC MEADOWS","","","","257","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KENANSVILLE, TOWN OF","","","","876","Ground water","PO BOX 370
KENANSVILLE, NC 28349","910-296-0369","",""
"KENDALE WOODS ESTATES","","","","71","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KENDALL HILL MASTER","","","","265","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KENLY, TOWN OF","","","","1,400","Surface water purchased","206 WEST SECOND ST
KENLY, NC 27542","919-284-2116","",""
"KENNEBEC FARMS S/D","","","","412","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KENSINGTON MEADOWS S/D","","","","283","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KENSINGTON PLACE S/D","","","","61","Ground water","4700 HOMEWOOD CT SUITE 108
C/O OLD NORTH STATE WATER CO
RALEIGH, NC 27609","919-971-3469","",""
"KENWOOD MEADOWS S/D","","","","86","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KENWOOD RESERVE S/D","","","","167","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KERLEY GARDENS","","","","87","Ground water","1284 WINDY RIDGE ROAD
CHAPEL HILL, NC 27517","919-545-0630","",""
"KERNERSVILLE LAKE PARK","","","","75","Ground water","201 NORTH CHESTNUT STREET
WINSTON SALEM, NC 27101","336-703-2500","",""
"KERR LAKE COUNTRY CLUB","","","","50","Ground water","600 HEDRICK DRIVE
HENDERSON, NC 27536","252-492-1895","",""
"KERR LAKE VILLAGE & CAMPGROUND","","","","107","Ground water","2499 FLEMINGTOWN RD
HENDERSON, NC 27537","252-430-1226","",""
"KERR RES HENDERSON POINT","","","","127","Ground water","6254 SATTERWHITE POINT RD
HENDERSON, NC 27537","252-438-7791","",""
"KERR RES HIBERNIA","","","","25","Ground water","6254 SATTERWHITE POINT RD
HENDERSON, NC 27537","252-438-7791","",""
"KERR RES JC COOPER 023 RANGER HOUSE","","","","25","Ground water","6254 SATTERWHITE POINT RD
HENDERSON, NC 27537","252-438-7791","",""
"KERR RES SATTERWHITE POINT 27","","","","25","Ground water","6254 SATTERWHITE POINT RD
HENDERSON, NC 27537","252-438-7791","",""
"KEYSTONE CAMP #2","","","","75","Ground water","101 KEYSTONE CAMP RD
BREVARD, NC 28712","828-553-1511","",""
"KEYSTONE CAMP INC","","","","180","Ground water","101 KEYSTONE CAMP RD
BREVARD, NC 28712","828-553-1511","",""
"KICKSTAND LODGE","","","","25","Ground water","2097 NC HWY 28
STECOAH, NC 28771","828-479-6069","",""
"KIDDIE KARE DAYCARE","","","","90","Ground water","32479 PENNINGTON RD
ALBEMARLE, NC 28001","704-982-2984","",""
"KIDDIE UNIVERSITY","","","","65","Ground water","4325 TRYON ROAD
RALEIGH, NC 27606","919-828-1800","",""
"KIDS ZONE DAYCARE","","","","71","Ground water","1996 Hwy 39 North
LOUISBURG, NC 27549","919-496-6433","",""
"KILL DEVIL HILLS, TOWN OF","","","","7,200","Ground water purchased","PO BOX 1719
KILL DEVIL HILLS, NC 27948","252-480-4088","",""
"KILT VALLEY ESTATES","","","","58","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KIMBERLY COURT","","","","69","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KIMESVILLE ROAD BAPTIST CH","","","","90","Ground water","PO BOX 26
ALAMANCE, NC 27201","","",""
"KINCHES CHAPEL CHRISTIAN CHURCH","","","","150","Ground water","PO BOX 388
FRANKLINTON, NC 27525","919-494-5137","",""
"KING MOUNTAIN CLUB WATER","","","","150","Groundwater under influence of surface water","311 KING CIRCLE
HIGHLANDS, NC 28741","828-526-5634","",""
"KING, CITY OF","","","","20,490","Surface water","PO BOX 1132
KING, NC 27021","336-985-1104","",""
"KINGDOM HALL (SR-2008)","","","","100","Ground water","548 JUDSON CHURCH RD
FAYETTEVILLE, NC 28312","910-567-2430","",""
"KINGDOM HALL JEHOVAH`S WITNESS","","","","75","Ground water","4315 YARBROUGH'S MILL RD
MILTON, NC 27305","336-694-9957","",""
"KINGDOM HALL OF JEHOVAH`S WITN","","","","80","Ground water","3489 HOPE VALLEY ROAD
DURHAM, NC 27707","","",""
"KINGS ACRES S/D","","","","71","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KINGS CHURCH","","","","115","Ground water","220 PARK TERRACE DRIVE
BELMONT, NC 28012","","",""
"KINGS GRANT S/D","","","","460","Surface water purchased","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"KINGS GRANT S/D","","","","300","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"KINGS LANDING S/D","","","","142","Ground water","PO BOX 228
STATESVILLE, NC 28687","704-872-4697","",""
"KINGS MOUNTAIN CARE CENTER","","","","29","Ground water","115 FERGUSON DR
KINGS MOUNTAIN, NC 28086","704-739-5929","",""
"KINGS MOUNTAIN REC AREA","","","","50","Ground water","160-A ZILLICOA ST
US FOREST SERVICE - ASHEVILLE
ASHEVILLE, NC 28801-1082","828-257-4231","",""
"KINGS MOUNTAIN, TOWN OF","","","","12,662","Surface water","PO BOX 429
KINGS MOUNTAIN, NC 28086","704-482-7131","",""
"KINGSTON MANOR S/D","","","","88","Ground water","4700 HOMEWOOD CT SUITE 108
C/O OLD NORTH STATE WATER CO
RALEIGH, NC 27609","919-971-3469","",""
"KING`S WAY BAPTIST CHURCH","","","","75","Ground water","1146 ROBINWOOD RD
NEWTON, NC 28658","828-327-6566","",""
"KINSTON, CITY OF","","","","27,475","Surface water purchased","PO BOX 339
PUBLIC SERVICES DEPT WATER RES DIV
KINSTON, NC 28504","252-939-3282","",""
"KINZA MEMORIAL BAPTIST CHURCH","","","","100","Ground water","4311 LOVES MILLS ROAD
STANFIELD, NC 28163","704-888-5886","",""
"KIRBY`S MHP","","","","48","Ground water","3973 DICKEY MILL RD
MEBANE, NC 27302","","",""
"KIRK GLEN S/D","","","","92","Surface water purchased","PO BOX 1407
PISGAH FOREST, NC 28768","828-884-9772","",""
"KITTRELL CHURCH OF GOD","","","","50","Ground water","PO BOX 155
KITTRELL, NC 27544","","",""
"KITTRELL WATER ASSOCIATION","","","","1,285","Surface water purchased","PO BOX 64
KITTRELL, NC 27544","252-430-4752","",""
"KMC FARMS","","","","40","Ground water","10033 Bailey Rd.
BAILEY, NC 27807","","",""
"KNIGHTDALE ESTATES MHP","","","","285","Ground water","808 EAGLE ROCK ROAD
WENDELL, NC 27591","919-669-2792","",""
"KNIGHT`S LANDING S/D","","","","25","Ground water","4700 HOMEWOOD COURT, SUITE 108
RALEIGH, NC 27609","252-236-5710","",""
"KNIGHT`S PLAY GOLF CENTER","","","","100","Ground water","2512 TEN-TEN RD
APEX, NC 27539","919-303-4653","",""
"KNOB CREEK WATER SYSTEM","","","","445","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KNOBBS BAPTIST CHURCH","","","","25","Ground water","3059 KING BILLINGS RD
TRAPHILL, NC 28685","","",""
"KNOLL RIDGE MHP","","","","75","Ground water","PO BOX 1414
ETOWAH, NC 28729","","",""
"KNOLL TERRACE MHP","","","","276","Ground water","645 HORSESHOE BEND RD
HENDERSON, NC 27537","252-430-6609","",""
"KNOLL VIEW S/D","","","","178","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KNOLLS III S/D","","","","130","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KNOLLWOOD ELEM SCHOOL","","","","750","Ground water","1000 NORTH LONG ST
ATTN ROWAN-SALISBURY SCHOOLS
SALISBURY, NC 28144","704-630-6090","",""
"KNOLLWOOD S/D","","","","48","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"KNOTTS ISLAND SENIOR CENTER","","","","25","Ground water","153 COURTHOUSE RD, SUIT 305
CURRITUCK, NC 27929","252-232-3505","",""
"KNOTT`S ISLAND BAPTIST CHURCH","","","","124","Ground water","389 WOODLEIGH RD
KNOTTS ISLAND, NC 27950","252-429-3426","",""
"KNOTT`S ISLAND ELEM SCHOOL","","","","125","Ground water","2958 CARATOKE HWY
CURRITUCK, NC 27929","252-232-2223","",""
"KNOTT`S ISLAND FERRY OPER","","","","50","Ground water","8550 SHIPYARD RD
NC DOT FERRY OPERATIONS
MANNS HARBOR, NC 27953","252-423-5145","",""
"KNOTT`S ISLAND MARKET","","","","200","Ground water","PO BOX 38
INNERBANKS AT KNOTTS ISLAND
KNOTTS ISLAND, NC 27950","252-429-3305","",""
"KOA-ASHEVILLE WEST","","","","75","Ground water","309 WIGGINS RD
CANDLER, NC 28715","828-665-7015","",""
"KOA-CAMPGROUND","","","","352","Ground water","123 HARMONY MOUNTAIN LANE
BOONE, NC 28607","828-264-7250","",""
"KOA-ENFIELD/ROCKY MOUNT","","","","154","Ground water","101 BELL ACRES
ENFIELD, NC 27823","252-445-5925","",""
"KOOL PARK MHP","","","","71","Ground water","3102 KOOL PARK RD NE #1
HICKORY, NC 28601","","",""
"KORNER KITCHEN","","","","25","Ground water","3501 BUCK SHOALS RD
UNION GROVE, NC 28689","","",""
"KOUNTRY KORNER","","","","300","Ground water","9413 North Hwy 10
VALE, NC 28168","704-276-2471","",""
"KPAC LLC","","","","25","Ground water","PO BOX 997
TROUTMAN, NC 28166","704-872-2888","",""
"KURE BEACH WATER SYSTEM","","","","5,110","Ground water","117 SETTLERS LN
KURE BEACH, NC 28449","910-458-5816","",""
"L & L FOOD STORE  NO 6","","","","100","Ground water","PO BOX 699
NASHVILLE, NC 27856","252-459-4475","",""
"LA BELLA AIROSA RESTAURANT","","","","150","Ground water","3500 N KERR AVE
WILMINGTON, NC 28405","910-769-2464","",""
